subj,RT,cond,type,confresponse
103,0.9372999668121338,faces,1,4
103,1.4005000591278076,faces,2,4
103,0.7822999954223633,faces,2,1
103,0.7519000172615051,faces,2,1
103,2.3501999378204346,faces,2,4
103,2.4082000255584717,faces,1,1
103,0.8237000107765198,faces,1,1
103,0.6482000350952148,faces,2,4
103,1.8615999221801758,faces,2,4
103,0.8470999598503113,faces,2,1
103,0.8220000267028809,faces,2,1
103,0.7800999879837036,faces,2,1
103,1.0019999742507935,faces,1,1
103,nan,faces,2,99
103,1.7214000225067139,faces,1,1
103,0.7950000166893005,faces,1,1
103,0.08699999749660492,faces,2,99
103,0.09619999676942825,faces,2,99
103,0.560200035572052,faces,1,1
103,0.8822999596595764,faces,2,4
103,0.7882000207901001,faces,1,1
103,0.45320001244544983,faces,2,4
103,0.455299973487854,faces,1,1
103,0.6339000463485718,faces,2,4
103,0.40700000524520874,faces,1,1
103,0.4519999921321869,faces,1,4
103,0.33320000767707825,faces,2,1
103,0.42570000886917114,faces,2,1
103,0.9132999777793884,faces,1,1
103,0.45660001039505005,faces,1,4
103,0.3003999888896942,faces,1,1
103,0.4950000047683716,faces,2,1
103,0.3822999894618988,faces,1,4
103,3.3381998538970947,faces,1,1
103,0.5965999960899353,faces,2,4
103,0.42149999737739563,faces,1,1
103,0.9645999670028687,faces,1,4
103,5.9664998054504395,faces,2,1
103,7.476900100708008,faces,1,1
103,3.1833999156951904,faces,2,1
103,4.328100204467773,faces,2,1
103,3.1389999389648438,faces,2,4
103,1.145300030708313,faces,2,1
103,0.8434000015258789,faces,1,4
103,3.3018999099731445,faces,1,1
103,2.422800064086914,faces,2,4
103,0.8859000205993652,faces,1,1
103,0.5618000030517578,faces,1,4
103,0.2700999975204468,faces,2,99
103,0.5210999846458435,faces,1,1
103,0.9312000274658203,faces,1,1
103,0.31460002064704895,faces,1,4
103,0.1728000044822693,faces,2,99
103,0.42729997634887695,faces,2,1
103,0.6775999665260315,faces,1,4
103,0.8109000325202942,faces,1,1
103,1.0779000520706177,faces,2,1
103,1.2633000612258911,faces,1,1
103,3.507399797439575,faces,1,1
103,0.6513000130653381,faces,2,4
103,1.3783000707626343,faces,2,1
103,1.533400058746338,faces,2,4
103,0.9857999682426453,faces,1,1
103,0.7189000248908997,faces,1,1
103,1.0601999759674072,faces,2,1
103,0.4558999836444855,faces,2,4
103,0.6659000515937805,faces,2,1
103,0.4757999777793884,faces,2,4
103,0.7319999933242798,faces,1,4
103,0.31360000371932983,faces,1,1
103,0.3165999948978424,faces,1,1
103,0.501800000667572,faces,2,1
103,0.45649999380111694,faces,2,1
103,0.35270002484321594,faces,1,4
103,0.7785000205039978,faces,1,1
103,0.7870999574661255,faces,2,4
103,0.4729999899864197,faces,1,1
103,0.31060001254081726,faces,1,1
103,0.2692999839782715,faces,2,99
103,0.16850000619888306,faces,1,99
103,0.6640999913215637,faces,1,1
103,6.329200267791748,faces,2,1
103,0.34929999709129333,faces,1,4
103,0.3052999973297119,faces,2,1
103,0.3658999800682068,faces,2,1
103,6.0005998611450195,words,1,1
103,0.8214000463485718,words,1,1
103,1.4223999977111816,words,2,1
103,1.0266999006271362,words,2,1
103,0.3667999804019928,words,2,4
103,1.767300009727478,words,2,4
103,0.8684000372886658,words,1,4
103,0.996399998664856,words,1,1
103,1.7654999494552612,words,2,4
103,1.038699984550476,words,2,4
103,1.7761999368667603,words,2,4
103,2.0185999870300293,words,1,1
103,1.1964000463485718,words,1,4
103,0.964900016784668,words,2,1
103,1.2310999631881714,words,2,4
103,3.383699893951416,words,1,1
103,1.979599952697754,words,1,4
103,0.7907000184059143,words,1,1
103,2.032599925994873,words,1,1
103,0.5135999917984009,words,2,4
103,0.5835999846458435,words,2,4
103,0.5354000329971313,words,1,4
103,1.5516999959945679,words,2,4
103,nan,words,1,99
103,6.459700107574463,words,1,4
